#SECTION:PAISES
428,SAN MARINO
429,SUECIA
430,SUIZA
431,VATICANO(SANTA SEDE)
432,YUGOSLAVIA
433,POS.BRIT.(EUROPA)
434,HOLANDA
435,CHIPRE
436,TURQUIA
438,"ALEMANIA,REP.FED."
439,BIELORRUSIA
440,ESTONIA
441,LETONIA
442,LITUANIA
443,MOLDAVIA
444,RUSIA
445,UCRANIA
446,BOSNIA HERZEGOVINA
447,CROACIA
448,ESLOVAQUIA
449,ESLOVENIA
450,MACEDONIA
451,REP. CHECA
452,FED. SER Y MONT YOGOE
453,MONTENEGRO
454,SERBIA
497,RESTO EUROPA
498,INDET.(EUROPA)
501,AUSTRALIA
503,NAURU
504,NUEVA ZELANDIA
505,VANATU
506,SAMOA OCCIDENTAL
507,TERRITORIO VINCULADOS A AUSTRALIA
508,TERRITORIOS VINCULADOS AL R. UNIDO
509,TERRITORIOS VINCULADOS A FRANCIA
510,TER VINCULADOS A NUEVA. ZELANDA
511,TER. VINCULADOS A ESTADOS UNIDOS
512,"FIJI, ISLAS"
513,PAPUA NUEVA GUINEA
514,"KIRIBATI, ISLAS"
515,"MICRONESIA,EST.FEDER"
516,PALAU
517,TUVALU
518,"SALOMON,ISLAS"
519,TONGA
520,"MARSHALL,ISLAS"
521,"MARIANAS,ISLAS"
597,RESTO OCEANIA
598,INDET.(OCEANIA)
601,URSS
652,ANGUILA (TERRITORIO NO AUTONOMO DEL R. UNIDO)
659,ANTILLAS HOLANDESAS (TERRITORIO DE PAISES BAJOS)
653,ARUBA (TERRITORIO DE PAISES BAJOS)
662,ASCENCION
663,BERMUDAS (TERRITORIO NO AUTONOMO DEL R UNIDO)
664,CAMPIONE DITALIA
665,COLONIA DE GIBRALTAR
666,GROENLANDIA
667,GUAM (TERRITORIO NO AUTONOMO DE LOS ESTADO UNIDOS
668,HONG KONG (TERRITORIO DE CHINA)
669,ISLAS AZORES
670,"ISLAS DEL CANAL (GUERNESEY, JERSEY, ALDERNEY,G.STARK, L.SARK, ETC)"
671,ISLAS CAIMAN (TERRITORIO NO AUTONOMO DE R UNIDO)
672,ISLA CHRISTMAS
673,ISLA DE COCOS O KEELING
654,ISLA DE COOK (TERRITORIO AUTONOMO ASOCIADO A NUEVA ZELANDA)
676,ISLA DE MAN (TERRITORIO DEL REINO UNIDO)
677,ISLA DE NORFOLK (TERRITORIO DEL R UNIDO)
678,ISALAS TURKAS Y CAICOS (TERRITORIO NO AUTONOMO DEL REINO UNIDO)
679,ISLAS PACIFICO
680,ISLAS DE SAN PEDRO Y MIGUELON
681,ISLA QESHM
682,ISLAS VIRGENES BRITANICAS (TERRITORIO NO AUTONOMO DEL REINO UNIDO)
683,ISLAS VIRGENES DE ESTADOS UNIDOS DE AMERICA
684,LABUAM
685,MADEIRA (TERRITORIO DE PORTUGAL)
686,MONSERRAT (TERRITORIO NO AUTONOMO DEL REINO UNIDO)
687,NIUE
655,PATAU
690,PITCAIRN
656,POLINESI FRANCESA (TERRITORIO DE ULTRAMAR DE FRANCIA)
693,REGIMEN APLICABLE A LAS SA FINANCIERAS (LEY 11073 DE LA ROU)
694,SANTA ELENA
695,SAMAO AMERICANA (TERRITORIO NO AUTONOMO DE LOS ESTADOS UNIDOS)
696,ARCHIPIELAGO DE SVBALBARD
697,TRISTAN DACUNHA
698,TRIESTE (ITALIA)
699,TOKELAU
700,ZONA LIBRE DE OSTRAVA (CIUDAD DE LA ATIGUA CHECOSLOVAQUIA)
997,RESTO CONTINENTE
998,INDET.(CONTINENTE)
999,OTROS PAISES
#SECTION:EMBALAJES
codigo,nombre
01,ESQUELETO
02,FRASCO
03,PALETA
04,CUNIETE
05,CONTENEDOR
06,CAJA
07,CAJON
08,FARDO
09,BOLSA
10,LATA
11,TAMBOR
12,BIDON
13,PAQUETE
30,ATADO
31,ROLLO
32,A GRANEL
33,PIEZA
34,ROLLIZO
35,BLOQUE
99,BULTOS
#SECTION:ADUANAS
codigo,nombre
0001,BS.AS. (CAPITAL)
0003,BAHIA BLANCA
0004,BARILOCHE
0008,CAMPANA
0010,BARRANQUERAS
0012,CLORINDA
0013,COLON
0014,COMODORO RIVADAVIA
0015,CONCEPCION DEL URUGUAY
0016,CONCORDIA
0017,CORDOBA
0018,CORRIENTES
0019,PUERTO DESEADO
0020,DIAMANTE
0023,ESQUEL
0024,FORMOSA
0025,GOYA
0026,GUALEGUAYCHU
0029,IGUAZU
0031,JUJUY
0033,LA PLATA
0034,LA QUIACA
0038,MENDOZA
0040,NECOCHEA
0041,PARANA
0042,PASO DE LOS LIBRES
0045,POCITOS
0046,POSADAS
0047,PUERTO MADRYN
0048,RIO GALLEGOS
0049,RIO GRANDE
0052,ROSARIO
0053,SALTA
0054,SAN JAVIER
0055,SAN JUAN
0057,SAN LORENZO
0058,S. MARTIN DE LOS ANDES
0059,SAN NICOLAS
0060,SAN PEDRO
0061,SANTA CRUZ
0062,SANTA FE
0066,TINOGASTA
0067,USHUAIA
0069,VILLA CONSTITUCION
0073,EZEIZA
0074,TUCUMAN
0076,ORAN
0078,SAN RAFAEL
0079,LA RIOJA
0080,SAN ANTONIO OESTE
0082,BERNARDO DE YRIGOYEN
0083,SAN LUIS
0084,SANTO TOME
0085,VILLA REGINA
0086,OBERA
0087,CALETA OLIVIA
0088,GENERAL DEHEZA
0089,SANTIAGO DEL ESTERO
0090,GENERAL PICO
0091,BS.AS. NORTE
0092,BS.AS. SUR
0093,RAFAELA
0099,MULTIADUANA
0258,Z.F GENERAL PICO
0266,Z.F CORONEL ROSALES
0267,Z.F CONCEP.DEL.URUG.
0268,Z.F. V. CONSTITUCION
0269,Z.F. PUERTO GALVAN
